2019-2020 Washington State Counties PIT Homeless Counts (Normalized),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
County,z2019_homeless,z2019_homeless,2019_pop,z2019_pop,2020_homeless,z2020_homeless,z2020_pop,z2020_pop,2019_percenthomelessstate,z2019_percenthomelessstate,2020_percenthomelessstate,z2020_percenthomelessstate,2019_percenthomelesspop,z2019_percenthomelesspop,2020_percenthomelesspop,land_area,z2020_percenthomelesspop,z_land_area,2019_homelessarea,z2019_homelessarea,z2020_homelessarea,2020_homelessarea
Adams County,22,-0.319,19759,-0.437,0,-0.325,20613,-0.437,0.001018283,-0.297,0,-0.311,0.001113417,-0.515,0,1925,-1.421,0.215,0.011,-0.411,-0.417,0
Asotin County,10,-0.325,22610,-0.429,15,-0.317,22285,-0.433,0.000462856,-0.304,0.00065465,-0.303,0.000442282,-0.999,0.000673098,636,-0.922,-1.041,0.016,-0.406,-0.392,0
Benton County,152,-0.250,201877,0.026,138,-0.254,206873,0.027,0.007035408,-0.224,0.006022782,-0.238,0.000752934,-0.775,0.000667076,1700,-0.926,-0.004,0.089,-0.324,-0.331,0
Chelan County,391,-0.123,77036,-0.291,337,-0.153,79074,-0.291,0.018097663,-0.091,0.014707808,-0.133,0.005075549,2.344,0.004261831,2920,1.739,1.185,0.134,-0.274,-0.295,0
Clallam County,196,-0.227,76737,-0.292,198,-0.224,77155,-0.296,0.009071974,-0.200,0.008641383,-0.206,0.002554179,0.525,0.002566263,1738,0.482,0.033,0.113,-0.298,-0.296,0
Clark County,958,0.178,481857,0.737,916,0.143,503311,0.765,0.044341588,0.226,0.039977305,0.174,0.001988142,0.116,0.001819948,629,-0.072,-1.048,1.523,1.281,1.126,1
Columbia County,<10,0.000,4059,-0.476,11,-0.319,3952,-0.478,0,-0.309,0.000480077,-0.305,0,-1.318,0.002783401,869,0.643,-0.814,0.000,-0.424,-0.404,0
Cowlitz County,468,-0.082,108987,-0.210,328,-0.158,110730,-0.212,0.021661652,-0.048,0.014315018,-0.137,0.00429409,1.780,0.00296216,1139,0.775,-0.551,0.411,0.036,-0.112,0
Douglas County,21,-0.320,42907,-0.378,21,-0.314,42938,-0.381,0.000971997,-0.297,0.00091651,-0.300,0.000489431,-0.965,0.000489077,1819,-1.058,0.112,0.012,-0.411,-0.405,0
Ferry County,<10,0.000,7649,-0.467,<10,0.000,7178,-0.470,0,-0.309,0,-0.311,0,-1.318,0,2204,-1.421,0.487,0.000,-0.424,-0.417,0
Franklin County,70,-0.294,94347,-0.247,52,-0.298,96749,-0.247,0.003239991,-0.270,0.002269454,-0.284,0.000741942,-0.783,0.000537473,1242,-1.022,-0.450,0.056,-0.361,-0.373,0
Garfield County,<10,0.000,2247,-0.481,<10,0.000,2286,-0.482,0,-0.309,0,-0.311,0,-1.318,0,710,-1.421,-0.969,0.000,-0.424,-0.417,0
