2019-2020 Washington State Counties PIT Homeless Counts,,,,,,,,,,,
,,,,,,,,,,,
County,2019_homeless,2019_pop,2020_homeless,2020_pop,2019_percenthomelessstate,2020_percenthomelessstate,2019_percenthomelesspop,2020_percenthomelesspop,land_area,2019_homelessarea,2020_homelessarea
Adams County,22,19759,0,20613,0%,0%,0.11%,0.00%,1925,0,0
Asotin County,10,22610,15,22285,0%,0%,0.04%,0.07%,636,0,0
Benton County,152,201877,138,206873,1%,1%,0.08%,0.07%,1700,0,0
Chelan County,391,77036,337,79074,2%,1%,0.51%,0.43%,2920,0,0
Clallam County,196,76737,198,77155,1%,1%,0.26%,0.26%,1738,0,0
Clark County,958,481857,916,503311,4%,4%,0.20%,0.18%,629,2,1
Columbia County,<10,4059,11,3952,0%,0%,0.00%,0.28%,869,0,0
Cowlitz County,468,108987,328,110730,2%,1%,0.43%,0.30%,1139,0,0
Douglas County,21,42907,21,42938,0%,0%,0.05%,0.05%,1819,0,0
Ferry County,<10,7649,<10,7178,0%,0%,0.00%,0.00%,2204,0,0
Franklin County,70,94347,52,96749,0%,0%,0.07%,0.05%,1242,0,0
Garfield County,<10,2247,<10,2286,0%,0%,0.00%,0.00%,710,0,0
Grant County,148,97331,180,99123,1%,1%,0.15%,0.18%,2680,0,0
Grays Harbor County,149,73901,108,75636,1%,0%,0.20%,0.14%,1902,0,0
Island County,159,84460,129,86857,1%,1%,0.19%,0.15%,209,1,1
Jefferson County,102,31729,139,32977,0%,1%,0.32%,0.42%,1804,0,0
King County,11199,2233163,11751,2269675,52%,51%,0.50%,0.52%,2115,5,6
Kitsap County,480,269805,524,275611,2%,2%,0.18%,0.19%,395,1,1
Kittitas County,39,47364,15,44337,0%,0%,0.08%,0.03%,2297,0,0
Klickitat County,14,22107,33,22735,0%,0%,0.06%,0.15%,1872,0,0
Lewis County,161,79604,142,82149,1%,1%,0.20%,0.17%,2403,0,0
Lincoln County,<10,10740,0,10876,0%,0%,0.00%,0.00%,2311,0,0
Mason County,273,65507,178,65726,1%,1%,0.42%,0.27%,959,0,0
Okanogan County,36,42132,67,42104,0%,0%,0.09%,0.16%,5268,0,0
Pacific County,42,22036,60,23365,0%,0%,0.19%,0.26%,933,0,0
Pend Oreille County,31,13602,42,13401,0%,0%,0.23%,0.31%,1400,0,0
Pierce County,1486,891299,1897,921130,7%,8%,0.17%,0.21%,1670,1,1
San Juan County,67,17128,65,17788,0%,0%,0.39%,0.37%,174,0,0
Skagit County,296,128206,314,129523,1%,1%,0.23%,0.24%,1731,0,0
Skamania County,25,11924,43,12036,0%,0%,0.21%,0.36%,1656,0,0
Snohomish County,1116,814901,1132,827957,5%,5%,0.14%,0.14%,2087,1,1
Spokane County,1309,514631,1559,539339,6%,7%,0.25%,0.29%,1764,1,1
Stevens County,45,45260,42,46445,0%,0%,0.10%,0.09%,2478,0,0
Thurston County,801,286419,995,294793,4%,4%,0.28%,0.34%,722,1,1
Wahkiakum County,13,4426,<10,4422,0%,0%,0.00%,0.00%,264,0,0
Walla Walla County,163,60922,140,62584,1%,1%,0.27%,0.22%,1270,0,0
Whatcom County,701,225685,687,226847,3%,3%,0.31%,0.30%,2107,0,0
Whitman County,23,49791,22,47973,0%,0%,0.05%,0.05%,2159,0,0
Yakima County,439,251446,633,256728,2%,3%,0.17%,0.25%,4296,0,0
,,,,,,,,,,,
,21605,7535591,22913,7705281,,,,,,,
,"Assume the ""<10 to be 0, cs there is no info provided about the exact number, I also checked the county's report and could not find any numbers",,,,,,,,,,
